PC=0000000000000000, REG[26]=0000000000000000
PC=0000000000000174, REG[ 0]=0000000000000000
PC=0000000000000118, REG[ 2]=0000000000000004
PC=0000000000000130, REG[ 3]=0000000000000004
PC=0000000000000124, REG[ 4]=0000000000000124
PC=000000000000013c, REG[ 5]=0000000000000004
PC=0000000000000148, REG[ 1]=0000000000000000
PC=0000000000000004, REG[20]=0000000000000000
PC=0000000000000008, ---
PC=000000000000000c, ---
PC=0000000000000010, ---
PC=0000000000000014, ---
PC=0000000000000018, ---
PC=000000000000001c, REG[26]=00000000000000f4
PC=000000000000015c, REG[ 0]=0000000000000000
PC=000000000000010c, REG[ 1]=0000000000000000
PC=0000000000000020, REG[21]=00000000000000e4
PC=0000000000000024, ---
PC=0000000000000028, ---
PC=000000000000002c, REG[22]=00000000000000f4
PC=0000000000000030, REG[26]=0000000000000110
PC=00000000000000e4, REG[ 0]=0000000000000808
PC=00000000000000e8, ---
PC=00000000000000ec, REG[22]=0000000000000820
PC=00000000000000f0, ---
PC=0000000000000034, REG[14]=0000000000000000
PC=0000000000000038, REG[15]=0000000000000160
PC=000000000000003c, REG[ 2]=0000000000000000
PC=0000000000000040, ---
PC=0000000000000044, REG[15]=0000000000000000
PC=0000000000000048, REG[ 6]=0000000000000070
PC=000000000000004c, REG[ 5]=0000000000000044
PC=0000000000000050, REG[ 1]=0000000000000000
PC=0000000000000054, REG[26]=000000000000011c
PC=0000000000000110, REG[ 0]=0000000000000124
PC=0000000000000114, ---
PC=0000000000000058, ---
PC=000000000000005c, REG[26]=0000000000000000
PC=00000000000000f4, REG[ 0]=0000000000000820
PC=00000000000000f8, ---
PC=00000000000000fc, ---
PC=0000000000000100, ---
PC=0000000000000104, REG[22]=0000000000000000
PC=0000000000000108, ---
PC=0000000000000060, REG[14]=0000000000000800
PC=0000000000000064, REG[ 2]=0000000000001008
PC=0000000000000068, ---
PC=0000000000000044, REG[15]=0000000000000808
PC=0000000000000048, REG[ 6]=0000000000000000
PC=000000000000004c, REG[ 5]=0000000000000044
PC=0000000000000050, REG[ 1]=0000000000000000
PC=0000000000000054, REG[26]=0000000000000000
PC=000000000000014c, REG[ 3]=0000000000000408
PC=0000000000000150, REG[ 0]=0000000000000000
PC=0000000000000154, ---
PC=0000000000000058, ---
PC=0000000000000070, REG[16]=0000000000000178
PC=0000000000000074, REG[ 5]=0000000000000000
PC=0000000000000078, REG[26]=0000000000000000
PC=0000000000000134, REG[ 1]=0000000000000000
PC=0000000000000138, ---
PC=000000000000007c, REG[ 6]=0000000000000000
PC=0000000000000080, REG[ 5]=0000000000000000
PC=0000000000000084, REG[26]=0000000000000000
PC=0000000000000110, REG[ 0]=c01fffe8201f0000
PC=0000000000000114, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[26]=0000000000000000
PC=00000000000000f4, REG[ 0]=0000000000000838
PC=00000000000000f8, ---
PC=00000000000000fc, ---
PC=0000000000000100, ---
PC=0000000000000104, REG[22]=0000000000000000
PC=0000000000000108, ---
PC=0000000000000090, REG[ 2]=0000000000000000
PC=0000000000000094, REG[ 1]=0000000000000000
PC=0000000000000098, REG[ 6]=0000000000000044
PC=000000000000009c, REG[ 5]=0000000000000000
PC=00000000000000a0, REG[26]=0000000000000838
PC=0000000000000140, ---
PC=0000000000000144, ---
PC=00000000000000a4, REG[ 2]=0000000000000808
PC=00000000000000a8, ---
PC=0000000000000044, REG[15]=0000000000000808
PC=0000000000000048, REG[ 6]=0000000000000000
PC=000000000000004c, REG[ 5]=0000000000000000
PC=0000000000000050, REG[ 1]=0000000000000000
PC=0000000000000054, REG[26]=0000000000000000
PC=000000000000014c, REG[ 3]=0000000000000408
PC=0000000000000150, REG[ 0]=0000000000000000
PC=0000000000000154, ---
PC=0000000000000058, ---
PC=0000000000000070, REG[16]=0000000000000820
PC=0000000000000074, REG[ 5]=0000000000000000
PC=0000000000000078, REG[26]=0000000000000178
PC=0000000000000134, REG[ 1]=0000000000000000
PC=0000000000000138, ---
PC=000000000000007c, REG[ 6]=0000000000000808
PC=0000000000000080, REG[ 5]=0000000000000000
PC=0000000000000084, REG[26]=0000000000000000
PC=000000000000014c, REG[ 3]=0000000000000088
PC=0000000000000150, REG[ 0]=0000000000000800
PC=0000000000000154, ---
PC=0000000000000088, ---
PC=0000000000000070, REG[16]=0000000000000800
PC=0000000000000074, REG[ 5]=0000000000000000
PC=0000000000000078, REG[26]=0000000000000160
PC=0000000000000134, REG[ 1]=0000000000000000
PC=0000000000000138, ---
PC=000000000000007c, REG[ 6]=0000000000000000
PC=0000000000000080, REG[ 5]=0000000000000000
PC=0000000000000084, REG[26]=0000000000000000
PC=0000000000000110, REG[ 0]=c01fffe8201f0000
PC=0000000000000114, ---
PC=0000000000000088, ---
PC=000000000000008c, REG[26]=0000000000000000
PC=00000000000000f4, REG[ 0]=0000000000000850
PC=00000000000000f8, ---
PC=00000000000000fc, ---
PC=0000000000000100, ---
PC=0000000000000104, REG[22]=0000000000000000
PC=0000000000000108, ---
PC=0000000000000090, REG[ 2]=0000000000000000
PC=0000000000000094, REG[ 1]=0000000000000000
PC=0000000000000098, REG[ 6]=0000000000000000
PC=000000000000009c, REG[ 5]=0000000000000070
PC=00000000000000a0, REG[26]=0000000000000000
PC=0000000000000140, ---
PC=0000000000000144, ---
PC=00000000000000a4, REG[ 2]=0000000000000808
PC=00000000000000a8, ---
PC=0000000000000044, REG[15]=0000000000000000
PC=0000000000000048, REG[ 6]=0000000000000000
PC=000000000000004c, REG[ 5]=0000000000000000
PC=0000000000000050, REG[ 1]=00000000000000f4
PC=0000000000000054, REG[26]=0000000000000070
PC=000000000000014c, REG[ 3]=0000000000000058
PC=0000000000000150, REG[ 0]=000000000000010c
PC=0000000000000154, ---
PC=0000000000000058, ---
PC=000000000000005c, REG[26]=0000000000000000
PC=00000000000000f4, REG[ 0]=0000000000000868
PC=00000000000000f8, ---
PC=00000000000000fc, ---
PC=0000000000000100, ---
PC=0000000000000104, REG[22]=0000000000000000
PC=0000000000000108, ---
PC=0000000000000060, REG[14]=0000000000000428
PC=0000000000000064, REG[ 2]=0000000000000868
PC=0000000000000068, ---
PC=0000000000000044, REG[15]=0000000000000000
PC=0000000000000048, REG[ 6]=000000000000014c
PC=000000000000004c, REG[ 5]=0000000000000430
PC=0000000000000050, REG[ 1]=0000000000000000
PC=0000000000000054, REG[26]=000000000000014c
PC=000000000000014c, REG[ 3]=0000000000000058
PC=0000000000000150, REG[ 0]=0000000000000000
PC=0000000000000154, ---
PC=0000000000000058, ---
PC=0000000000000070, REG[16]=0000000000000808
PC=0000000000000074, REG[ 5]=0000000000000000
PC=0000000000000078, REG[26]=0000000000000178
PC=0000000000000134, REG[ 1]=0000000000000000
PC=0000000000000138, ---
PC=000000000000007c, REG[ 6]=0000000000000868
PC=0000000000000080, REG[ 5]=0000000000000070
PC=0000000000000084, REG[26]=0000000000000000
PC=000000000000014c, REG[ 3]=0000000000000088
PC=0000000000000150, REG[ 0]=0000000000000000
PC=0000000000000154, ---
PC=0000000000000088, ---
PC=0000000000000070, REG[16]=0000000000000000
PC=0000000000000074, REG[ 5]=0000000000000000
PC=0000000000000078, REG[26]=0000000000000000
PC=0000000000000134, REG[ 1]=0000000000000000
PC=0000000000000138, ---
PC=000000000000007c, REG[ 6]=0000000000000000
PC=0000000000000080, REG[ 5]=0000000000000001
PC=0000000000000084, REG[26]=0000000000000000
PC=000000000000014c, REG[ 3]=0000000000000000
PC=0000000000000150, REG[ 0]=0000000000000088
PC=0000000000000154, ---
PC=0000000000000088, ---
PC=0000000000000070, REG[16]=0000000000000000
PC=0000000000000074, REG[ 5]=0000000000000000
PC=0000000000000078, REG[26]=0000000000000000
PC=0000000000000134, REG[ 1]=0000000000000000
PC=0000000000000138, ---
PC=000000000000007c, REG[ 6]=0000000000000000
PC=0000000000000080, REG[ 5]=0000000000000000
PC=0000000000000084, REG[26]=0000000000000000
